"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"31-Oct-2023","28-Dec-2023","XX","-","908.20","912.85","902.00","911.25","911.50","911.25","84,600","7,67,99,880.00","7,67,99,880.00","1,12,500","18,000"
"30-Oct-2023","28-Dec-2023","XX","-","895.00","905.95","891.40","904.35","904.20","904.35","45,000","4,05,55,890.00","4,05,55,890.00","94,500","-4,500"
"27-Oct-2023","28-Dec-2023","XX","-","891.55","903.50","891.55","900.75","900.50","900.75","33,300","2,99,23,290.00","2,99,23,290.00","99,000","6,300"
"26-Oct-2023","28-Dec-2023","XX","-","891.00","895.50","886.55","891.55","891.55","891.55","19,800","1,76,27,850.00","1,76,27,850.00","92,700","7,200"
"25-Oct-2023","28-Dec-2023","XX","-","901.60","905.00","896.65","898.65","897.95","898.65","53,100","4,78,52,415.00","4,78,52,415.00","85,500","29,700"
"23-Oct-2023","28-Dec-2023","XX","-","908.60","916.75","893.25","895.00","893.25","895.00","35,100","3,19,41,315.00","3,19,41,315.00","55,800","21,600"
"20-Oct-2023","28-Dec-2023","XX","-","907.00","908.45","901.00","908.45","908.45","908.45","6,300","56,97,945.00","56,97,945.00","34,200","2,700"
"19-Oct-2023","28-Dec-2023","XX","-","-","-","-","913.00","913.00","907.05","-","-","-","31,500","-"
"18-Oct-2023","28-Dec-2023","XX","-","913.00","916.85","913.00","913.00","913.00","907.55","4,500","41,11,965.00","41,11,965.00","31,500","-1,800"
"17-Oct-2023","28-Dec-2023","XX","-","925.00","938.05","922.00","922.35","923.25","922.35","11,700","1,08,85,815.00","1,08,85,815.00","33,300","9,900"
"16-Oct-2023","28-Dec-2023","XX","-","925.00","925.20","922.85","925.00","925.00","920.90","3,600","33,28,245.00","33,28,245.00","23,400","1,800"
"13-Oct-2023","28-Dec-2023","XX","-","912.65","926.70","912.30","926.65","926.70","926.65","11,700","1,07,65,440.00","1,07,65,440.00","21,600","6,300"
"12-Oct-2023","28-Dec-2023","XX","-","-","-","-","901.65","901.65","905.15","-","-","-","15,300","-"
"11-Oct-2023","28-Dec-2023","XX","-","-","-","-","901.65","901.65","901.30","-","-","-","15,300","-"
"10-Oct-2023","28-Dec-2023","XX","-","898.00","901.65","898.00","901.65","901.65","901.85","11,700","1,05,46,020.00","1,05,46,020.00","15,300","9,000"
"09-Oct-2023","28-Dec-2023","XX","-","884.10","891.45","884.10","891.45","891.45","893.80","3,600","31,99,725.00","31,99,725.00","6,300","-"
"06-Oct-2023","28-Dec-2023","XX","-","886.60","890.90","886.60","890.70","890.70","888.30","5,400","47,99,385.00","47,99,385.00","6,300","-"
"05-Oct-2023","28-Dec-2023","XX","-","873.00","877.55","873.00","875.70","877.40","875.70","5,400","47,28,465.00","47,28,465.00","6,300","4,500"
"04-Oct-2023","28-Dec-2023","XX","-","875.00","878.00","875.00","878.00","878.00","878.00","1,800","15,77,700.00","15,77,700.00","1,800","900"
"03-Oct-2023","28-Dec-2023","XX","-","885.75","885.75","885.75","885.75","885.75","885.90","900","7,97,175.00","7,97,175.00","900","-"
"29-Sep-2023","28-Dec-2023","XX","-","896.00","896.00","896.00","896.00","896.00","892.60","900","8,06,400.00","8,06,400.00","900","900"